year,watershed,elevation,transect,sample,stem_length,leaf1area,leaf2area,leaf_dry_mass,stem_dry_mass,corrected_leaf_area
2003,Reference,Low,R6,1,99.2,7.61,7.834,0.0306,0.0225,18.581
2003,Reference,Low,R6,2,99.1,10.287,10.603,0.04,0.0185,24.027
2003,Reference,Low,R6,3,68.5,11.165,9.834,0.0598,0.0217,24.136
2003,Reference,Low,R6,4,66.3,7.935,7.409,0.0369,0.0205,18.481
2003,Reference,Low,R6,5,69.8,12.192,11.025,0.0573,0.0252,26.354
2003,Reference,Low,R6,6,79.4,11.277,9.206,0.0392,0.0174,23.62
2003,Reference,Low,R6,7,71.4,14.308,14.198,0.0601,0.0261,31.643
2003,Reference,Low,R6,8,83.3,9.899,9.098,0.0443,0.0225,22.134
2003,Reference,Low,R6,9,67.6,8.379,11.036,0.0484,0.0214,22.552
2003,Reference,Low,R6,10,65.2,9.288,10.699,0.0485,0.0239,23.124
2003,Reference,Low,R6,11,76.2,9.444,9.962,0.0398,0.0224,22.543
2003,Reference,Low,R6,12,71.5,11.723,12.476,0.0383,0.019,27.336
2003,Reference,Low,R6,13,73.8,10.576,9.28,0.387,0.0232,22.993
2003,Reference,Low,R6,14,73.4,11.394,10.818,0.0424,0.0217,25.349
2003,Reference,Low,R6,15,91,12.498,13.594,0.0589,0.0379,29.229
2003,Reference,Low,R6,16,68.6,10.22,9.551,0.0485,0.0226,22.908
2003,Reference,Low,R6,17,73.3,6.403,6.46,0.0341,0.0225,16
2003,Reference,Low,R6,18,106.2,6.928,7.25,0.0351,0.0243,17.315
2003,Reference,Low,R6,19,71.7,2.48,12.25,0.06,0.0358,17.867
2003,Reference,Low,R6,20,63.5,5.415,6.173,0.0303,0.0244,14.725
2003,Reference,Mid,R3,1,90.8,8.221,7.234,0.0321,0.0206,18.592
2003,Reference,Mid,R3,2,100.5,10.189,10.378,0.0444,0.0248,23.704
2003,Reference,Mid,R3,3,83.6,10.806,13.082,0.0402,0.0223,27.025
2003,Reference,Mid,R3,4,77,10.862,9.312,0.0381,0.018,23.311
2003,Reference,Mid,R3,5,85.7,7.587,7.026,0.0239,0.0222,17.75
2003,Reference,Mid,R3,6,113.4,9.992,8.101,0.0274,0.0253,21.23
2003,Reference,Mid,R3,7,104.6,7.644,7.549,0.029,0.0293,18.33
2003,Reference,Mid,R3,8,88.2,13.305,12.757,0.0478,0.0214,29.199
2003,Reference,Mid,R3,9,76,10.226,11.396,0.0438,0.0184,24.759
2003,Reference,Mid,R3,10,81.6,7.644,7.535,0.0281,0.0192,18.316
2003,Reference,Mid,R3,11,79.3,13.495,12.543,0.0446,0.0205,29.175
2003,Reference,Mid,R3,12,71.5,15.926,16.969,0.0636,0.0233,36.032
2003,Reference,Mid,R3,13,106,9.573,11.303,0.0413,0.0321,24.013
2003,Reference,Mid,R3,14,71.9,7.458,7.225,0.0328,0.0177,17.82
2003,Reference,Mid,R3,15,75.1,7.641,8.01,0.0279,0.0206,18.788
2003,Reference,Mid,R3,16,94,5.008,6.445,0.0165,0.0158,14.59
2003,Reference,Mid,R3,17,68.6,11.017,10.267,0.0502,0.0254,24.421
2003,Reference,Mid,R3,18,81.9,7.594,6.912,0.0203,0.0152,17.643
2003,Reference,Mid,R3,19,97.7,9.068,9.312,0.0338,0.0225,21.517
2003,Reference,Mid,R3,20,80.9,8.357,7.633,0.0389,0.0199,19.127
2003,Reference,Mid,R4,1,69.9,8.656,11.676,0.0442,0.0193,23.469
2003,Reference,Mid,R4,2,63,10.739,10.254,0.0443,0.0194,24.13
2003,Reference,Mid,R4,3,80.2,8.105,8.636,0.0374,0.0268,19.878
2003,Reference,Mid,R4,4,66.4,7.672,7.533,0.0332,0.0145,18.342
2003,Reference,Mid,R4,5,111.3,11.527,8.594,0.0343,0.0265,23.258
2003,Reference,Mid,R4,6,60,7.011,5.603,0.0259,0.012,15.751
2003,Reference,Mid,R4,7,78.4,7.277,8.115,0.036,0.0269,18.529
2003,Reference,Mid,R4,8,80,7.771,8.493,0.0435,0.0244,19.401
2003,Reference,Mid,R4,9,67.1,9.759,10.005,0.0513,0.0366,22.901
2003,Reference,Mid,R4,10,89.5,8.803,9.869,0.0474,0.0383,21.809
2003,Reference,Mid,R4,11,73.8,6.702,5.382,0.0186,0.0176,15.221
2003,Reference,Mid,R4,12,106,10.9,10.992,0.0437,0.0279,25.029
2003,Reference,Mid,R4,13,63.2,12.336,11.263,0.0519,0.0176,26.736
2003,Reference,Mid,R4,14,69.9,8.037,7.676,0.0329,0.018,18.85
2003,Reference,Mid,R4,15,56.7,7.542,6.517,0.0318,0.0208,17.196
2003,Reference,Mid,R4,16,83,4.838,5.321,0.0239,0.0179,13.296
2003,Reference,Mid,R4,17,85.8,10.485,11.735,0.0535,0.02,25.357
2003,Reference,Mid,R4,18,74.5,9.391,9.317,0.0449,0.0195,21.845
2003,Reference,Mid,R4,19,96.8,13.748,13.105,0.053900000000000003,0.0364,29.99
2003,Reference,Mid,R4,20,72.7,9.945,7.681,0.0432,0.0282,20.763
2003,Reference,Mid,R5,1,77.8,6.952,4.451,0.0229,0.0176,14.54
2003,Reference,Mid,R5,2,98.4,7.612,6.579,0.0243,0.0178,17.328
2003,Reference,Mid,R5,3,85.7,6.621,9.041,0.0256,0.0197,18.799
2003,Reference,Mid,R5,4,100.5,12.073,11.851,0.0493,0.0258,27.061
2003,Reference,Mid,R5,5,74.3,9.368,9.044,0.0303,0.0234,21.549
2003,Reference,Mid,R5,6,61.4,5.589,3.4,0.0117,0.0079,12.126
2003,Reference,Mid,R5,7,76.5,10.693,8.784,0.0448,0.0268,22.614
2003,Reference,Mid,R5,8,73.9,11.122,11.731,0.0415,0.0157,25.99
2003,Reference,Mid,R5,9,65.7,6.134,7.374,0.0215,0.0163,16.645
2003,Reference,Mid,R5,10,68.3,9.898,9.222,0.0378,0.0172,22.257
2003,Reference,Mid,R5,11,87.5,14.471,14.273,0.0562,0.031,31.881
2003,Reference,Mid,R5,12,79.7,12.253,12.33,0.0475,0.0224,27.72
2003,Reference,Mid,R5,13,83.4,7.805,8.211,0.0308,0.0238,19.153
2003,Reference,Mid,R5,14,94.2,11.616,11.288,0.0301,0.018,26.041
2003,Reference,Mid,R5,15,104.5,8.428,7.553,0.0212,0.0183,19.118
2003,Reference,Mid,R5,16,66,7.711,6.833,0.0218,0.0118,17.681
2003,Reference,Mid,R5,17,70,12.435,13.46,0.052,0.0288,29.032
2003,Reference,Mid,R5,18,88.9,10.994,9.782,0.0413,0.0285,23.913
2003,Reference,Mid,R5,19,70.8,10.145,11.319,0.0483,0.0161,24.601
2003,Reference,Mid,R5,20,104.6,7.432,8.559,0.0275,0.0184,19.128
2003,W1,Low,W1-1,1,98.4,19.185,19.315,0.0936,0.0471,41.637
2003,W1,Low,W1-1,2,86.1,15.137,16.678,0.0756,0.0362,34.952
2003,W1,Low,W1-1,3,82,19.854,21.598,0.0934,0.038,44.589
2003,W1,Low,W1-1,4,66,13.909,11.454,0.0581,0.0263,28.5
2003,W1,Low,W1-1,5,110.2,16.794,17.445,0.0666,0.0422,37.376
2003,W1,Low,W1-1,6,110.1,17.166,17.704,0.0667,0.0397,38.007
2003,W1,Low,W1-1,7,111.3,16.622,16.386,0.0602,0.0405,36.145
2003,W1,Low,W1-1,8,98.3,14.986,13.076,0.0463,0.0247,31.199
2003,W1,Low,W1-1,9,98.3,26.198,16.928,0.0958,0.0437,46.263
2003,W1,Low,W1-1,10,107.2,16.417,18.463,0.0703,0.0342,38.017
2003,W1,Low,W1-1,11,94.1,16.948,16.125,0.0733,0.0405,36.21
2003,W1,Low,W1-1,12,78.5,16.883,16.56,0.072,0.0305,36.58
2003,W1,Low,W1-1,13,77,15.248,15.88,0.073,0.0296,34.265
2003,W1,Low,W1-1,14,63.9,11.86,13.799,0.0597,0.0223,28.796
2003,W1,Low,W1-1,15,77.8,9.404,9.332,0.0393,0.0213,21.873
2003,W1,Low,W1-1,16,71.5,9.315,13.027,0.0514,0.0207,25.479
2003,W1,Low,W1-1,17,80.4,17.968,17.816,0.0698,0.0279,38.921
2003,W1,Low,W1-1,18,92.5,16.476,18.475,0.0631,0.0377,38.088
2003,W1,Low,W1-1,19,83.2,12.3,11.08,0.0547,0.0296,26.517
2003,W1,Low,W1-1,20,60.5,15.402,13.186,0.0552,0.021,31.725
2003,W1,Low,W1-2,1,97,17.098,17.795,0.0662,0.047,38.03
2003,W1,Low,W1-2,2,92.4,16.584,17.614,0.0664,0.0357,37.335
2003,W1,Low,W1-2,3,94.4,16.543,15.542,0.0598,0.0402,35.222
2003,W1,Low,W1-2,4,99.1,14,14.718,0.0499,0.032,31.855
2003,W1,Low,W1-2,5,71.3,15.735,17.771,0.0741,0.0318,36.643
2003,W1,Low,W1-2,6,79.7,17.936,16.668,0.0883,0.0351,37.741
2003,W1,Low,W1-2,7,75.3,15.667,12.922,0.0706,0.0281,31.726
2003,W1,Low,W1-2,8,68.4,13.296,13.162,0.0604,0.0257,29.595
2003,W1,Low,W1-2,9,85.7,10.554,13.353,0.0509,0.0363,27.044
2003,W1,Low,W1-2,10,132.3,9.939,11.07,0.0425,0.043,24.146
2003,W1,Low,W1-2,11,76.1,13.022,15.727,0.0617,0.028,31.886
2003,W1,Low,W1-2,12,93.3,14.064,17.266,0.068,0.0367,34.467
2003,W1,Low,W1-2,13,101.8,7.983,5.44,0.0286,0.0259,16.56
2003,W1,Low,W1-2,14,95,6.488,7.024,0.03,0.0221,16.649
2003,W1,Low,W1-2,15,77,13.538,11.023,0.0643,0.035,27.698
2003,W1,Low,W1-2,16,74,16.604,17.794,0.086,0.0378,37.535
2003,W1,Low,W1-2,17,89.8,15.752,15.859,0.0746,0.0351,34.748
2003,W1,Low,W1-2,18,73.6,15.414,13.274,0.0698,0.0334,31.825
2003,W1,Low,W1-2,19,70.8,12.813,9.769,0.0471,0.0218,25.719
2003,W1,Low,W1-2,20,71.8,8.792,9.635,0.039,0.0211,21.564
2003,W1,Low,W1-6,1,73.9,16.788,16.647,0.0799,0.0366,36.572
2003,W1,Low,W1-6,2,72.2,16.466,16.943,0.0727,0.0355,36.546
2003,W1,Low,W1-6,3,87,14.544,12.136,0.072,0.045,29.817
2003,W1,Low,W1-6,4,73,11.787,10.894,0.046,0.0239,25.818
2003,W1,Low,W1-6,5,91.9,11.657,11.133,0.0501,0.0298,25.927
2003,W1,Low,W1-6,6,84.5,16.993,16.61,0.0844,0.0366,36.74
2003,W1,Low,W1-6,7,83,16.629,18.277,0.0835,0.047,38.043
2003,W1,Low,W1-6,8,71.8,13.058,13.613,0.0673,0.033,29.808
2003,W1,Low,W1-6,9,75.4,12.071,10.654,0.0556,0.033,25.862
2003,W1,Low,W1-6,10,87.4,12.102,12.16,0.0585,0.0346,27.399
2003,W1,Low,W1-6,11,79.4,12.688,12.523,0.0505,0.0276,28.348
2003,W1,Low,W1-6,12,80.6,11.665,10.247,0.0381,0.0284,25.049
2003,W1,Low,W1-6,13,118,12.39,10.684,0.043,0.0269,26.211
2003,W1,Low,W1-6,14,119.9,11.402,11.291,0.0381,0.0332,25.83
2003,W1,Low,W1-6,15,77.9,18.442,19.762,0.13,0.0674,41.341
2003,W1,Low,W1-6,16,110.1,21.685,24.235,0.1262,0.0889,49.057
2003,W1,Low,W1-6,17,75,11.017,13.494,0.0613,0.0377,27.648
2003,W1,Low,W1-6,18,93.5,18.138,16.473,0.0768,0.0396,37.748
2003,W1,Low,W1-6,19,101.1,21.77,22.854,0.10780000000000001,0.0631,47.761
2003,W1,Low,W1-6,20,94.4,23.194,21.616,0.1062,0.0468,47.947
2003,W1,Mid,W1-3,1,88.7,14.989,16.591,0.0711,0.0356,34.717
2003,W1,Mid,W1-3,2,85.9,13.463,13.476,0.0626,0.0282,30.076
2003,W1,Mid,W1-3,3,93.6,16.441,16.083,0.0612,0.0308,35.661
2003,W1,Mid,W1-3,4,89.8,12.55,14.068,0.0521,0.0272,29.755
2003,W1,Mid,W1-3,5,82.1,15.058,14.585,0.0769,0.0416,32.78
2003,W1,Mid,W1-3,6,66.6,14.258,14.518,0.0665,0.031,31.913
2003,W1,Mid,W1-3,7,91.2,19.156,20.128,0.0903,0.0429,42.421
2003,W1,Mid,W1-3,8,104.2,17.202,15.334,0.1025,0.0363,35.673
2003,W1,Mid,W1-3,9,89.1,21.377,15.608,0.0958,0.0436,40.122
2003,W1,Mid,W1-3,10,77.6,12.631,12.356,0.0633,0.0307,28.124
2003,W1,Mid,W1-3,11,94.5,16.153,16.254,0.0655,0.0359,35.544
2003,W1,Mid,W1-3,12,68.5,10.7,10.085,0.0462,0.0173,23.922
2003,W1,Mid,W1-3,13,120.2,16.366,15.545,0.0719,0.0579,35.048
2003,W1,Mid,W1-3,14,88.6,12.61,13.836,0.0595,0.0314,29.583
2003,W1,Mid,W1-3,15,86.2,19.729,19.54,0.0891,0.0467,42.406
2003,W1,Mid,W1-3,16,80.1,16.583,17.223,0.0767,0.0356,36.943
2003,W1,Mid,W1-3,17,87.9,26.952,25.785,0.1337,0.0516,55.874
2003,W1,Mid,W1-3,18,69.8,13.113,15.802,0.061,0.021,32.052
2003,W1,Mid,W1-3,19,103,21.534,17.75,0.0951,0.0492,42.421
2003,W1,Mid,W1-3,20,82.4,13.705,12.219,0.0598,0.0323,29.061
2003,W1,Mid,W1-4,1,106.1,13.766,14.362,0.0627,0.0326,31.265
2003,W1,Mid,W1-4,2,97.1,14.94,15.766,0.0711,0.031,33.843
2003,W1,Mid,W1-4,3,92,10.37,11.203,0.0372,0.0226,24.71
2003,W1,Mid,W1-4,4,88.6,8.672,8.271,0.033,0.0225,20.08
2003,W1,Mid,W1-4,5,79.7,11.76,12.461,0.0503,0.0392,27.358
2003,W1,Mid,W1-4,6,76.8,12.917,17.182,0.0657,0.0353,33.236
2003,W1,Mid,W1-4,7,98.6,9.221,8.596,0.0316,0.0221,20.954
2003,W1,Mid,W1-4,8,96.5,11.767,12.38,0.0412,0.0282,27.284
2003,W1,Mid,W1-4,9,103.2,13.322,10.297,0.0417,0.0288,26.756
2003,W1,Mid,W1-4,10,101.6,12.281,12.253,0.05,0.033,27.671
2003,W1,Mid,W1-4,11,81,21.168,21.88,0.0892,0.0389,46.185
2003,W1,Mid,W1-4,12,112.3,16.318,16.969,0.0522,0.0231,36.424
2003,W1,Mid,W1-4,13,79.6,12.869,12.624,0.0615,0.0272,28.63
2003,W1,Mid,W1-4,14,79.2,10.612,8.999,0.0389,0.0211,22.748
2003,W1,Mid,W1-4,15,75.3,9.856,10.057,0.0466,0.0316,23.05
2003,W1,Mid,W1-4,16,85.9,11.773,7.789,0.0458,0.0345,22.699
2003,W1,Mid,W1-4,17,82,9.909,9.615,0.0422,0.0208,22.661
2003,W1,Mid,W1-4,18,94.4,12.169,11.966,0.0544,0.027,27.272
2003,W1,Mid,W1-4,19,105,13.514,12.786,0.0607,0.0417,29.437
2003,W1,Mid,W1-4,20,112.2,16.415,15.916,0.0694,0.0456,35.468
2003,W1,Mid,W1-5,1,82.5,11.273,11.63,0.0441,0.0261,26.04
2003,W1,Mid,W1-5,2,88.5,12.51,11.698,0.0457,0.0257,27.345
2003,W1,Mid,W1-5,3,61.4,7.966,7.788,0.0326,0.0116,18.891
2003,W1,Mid,W1-5,4,87.7,15.716,16.816,0.0764,0.0346,35.669
2003,W1,Mid,W1-5,5,104.8,13.133,12.899,0.0536,0.0387,29.169
2003,W1,Mid,W1-5,6,109.1,9.444,9.486,0.0341,0.036,22.067
2003,W1,Mid,W1-5,7,89,13.677,14.506,0.0431,0.0239,31.32
2003,W1,Mid,W1-5,8,97.4,10.361,8.457,0.0313,0.0187,21.955
2003,W1,Mid,W1-5,9,67.9,7.465,7.205,0.0252,0.018,17.807
2003,W1,Mid,W1-5,10,79,9.516,8.855,0.044,0.0273,21.508
2003,W1,Mid,W1-5,11,80.8,11.871,11.998,0.0571,0.0321,27.006
2003,W1,Mid,W1-5,12,85.6,8.91,8.079,0.0331,0.0239,20.126
2003,W1,Mid,W1-5,13,90.6,13.098,14.716,0.06,0.0295,30.951
2003,W1,Mid,W1-5,14,74.3,13.748,15.405,0.0559,0.0191,32.29
2003,W1,Mid,W1-5,15,104.1,11.556,9.787,0.0424,0.036,24.48
2003,W1,Mid,W1-5,16,126.3,11.945,13.241,0.0465,0.0344,28.323
2003,W1,Mid,W1-5,17,77.2,10.323,9.342,0.0442,0.024,22.802
2003,W1,Mid,W1-5,18,83.1,12.24,10.968,0.0516,0.0286,26.345
2003,W1,Mid,W1-5,19,75.9,8.086,8.113,0.0385,0.0253,19.336
2003,W1,Mid,W1-5,20,67.9,10.081,10.372,0.0509,0.0256,23.59
2004,Reference,NA,R1,1,64,NA,NA,0.0617,0.044,NA
2004,Reference,NA,R1,2,75,NA,NA,0.0318,0.0367,NA
2004,Reference,NA,R1,3,87,NA,NA,0.0927,0.0841,NA
2004,Reference,NA,R1,4,70,NA,NA,0.0494,0.0406,NA
2004,Reference,NA,R1,5,80,NA,NA,0.0321,0.0347,NA
2004,Reference,NA,R1,6,84,NA,NA,0.0449,0.053900000000000003,NA
2004,Reference,NA,R1,7,81,NA,NA,0.0567,0.0493,NA
2004,Reference,NA,R1,8,106,NA,NA,0.063,0.0829,NA
2004,Reference,NA,R1,9,83,NA,NA,0.075,0.0666,NA
2004,Reference,NA,R1,10,96,NA,NA,0.0739,0.0717,NA
2004,Reference,NA,R1,11,89,NA,NA,0.0394,0.0481,NA
2004,Reference,NA,R1,12,94,NA,NA,0.0817,0.0612,NA
2004,Reference,NA,R1,13,78,NA,NA,0.0378,0.0406,NA
2004,Reference,NA,R1,14,57,NA,NA,0.0404,0.0344,NA
2004,Reference,NA,R1,15,99,NA,NA,0.087,0.0708,NA
2004,Reference,NA,R1,16,63,NA,NA,0.0527,0.0331,NA
2004,Reference,NA,R1,17,95,NA,NA,0.054,0.0524,NA
2004,Reference,NA,R1,18,76,NA,NA,0.0566,0.0622,NA
2004,Reference,NA,R1,19,89,NA,NA,0.0464,0.0501,NA
2004,Reference,NA,R1,20,64,NA,NA,0.0344,0.0324,NA
2004,Reference,NA,R2,1,125,NA,NA,0.1108,0.1051,NA
2004,Reference,NA,R2,2,71,NA,NA,0.1046,0.0936,NA
2004,Reference,NA,R2,3,88,NA,NA,0.0305,0.0381,NA
2004,Reference,NA,R2,4,74,NA,NA,0.0656,0.0599,NA
2004,Reference,NA,R2,5,76,NA,NA,0.0559,0.0516,NA
2004,Reference,NA,R2,6,68,NA,NA,0.0495,0.0483,NA
2004,Reference,NA,R2,7,88,NA,NA,0.0655,0.0668,NA
2004,Reference,NA,R2,8,91,NA,NA,0.0678,0.0626,NA
2004,Reference,NA,R2,9,112,NA,NA,0.0864,0.1008,NA
2004,Reference,NA,R2,10,102,NA,NA,0.1027,0.1048,NA
2004,Reference,NA,R2,11,86,NA,NA,0.0612,0.0727,NA
2004,Reference,NA,R2,12,78,NA,NA,0.0517,0.0534,NA
2004,Reference,NA,R2,13,70,NA,NA,0.0766,0.0585,NA
2004,Reference,NA,R2,14,99,NA,NA,0.1151,0.0938,NA
2004,Reference,NA,R2,15,66,NA,NA,0.0745,0.0605,NA
2004,Reference,NA,R2,16,86,NA,NA,0.0549,0.0566,NA
2004,Reference,NA,R2,17,85,NA,NA,0.056,0.056,NA
2004,Reference,NA,R2,18,75,NA,NA,0.0924,0.067,NA
2004,Reference,NA,R2,19,94,NA,NA,0.0904,0.085,NA
2004,Reference,NA,R2,20,101,NA,NA,0.0865,0.0989,NA
2004,Reference,NA,R3,1,84,NA,NA,0.0909,0.0751,NA
2004,Reference,NA,R3,2,100,NA,NA,0.0592,0.0686,NA
2004,Reference,NA,R3,3,96,NA,NA,0.0823,0.0924,NA
2004,Reference,NA,R3,4,108,NA,NA,0.062,0.0844,NA
2004,Reference,NA,R3,5,68,NA,NA,0.0422,0.0518,NA
2004,Reference,NA,R3,6,89,NA,NA,0.1007,0.1054,NA
2004,Reference,NA,R3,7,70,NA,NA,0.0749,0.0467,NA
2004,Reference,NA,R3,8,66,NA,NA,0.0339,0.0329,NA
2004,Reference,NA,R3,9,77,NA,NA,0.0647,0.0633,NA
2004,Reference,NA,R3,10,111,NA,NA,0.0897,0.0896,NA
2004,Reference,NA,R3,11,77,NA,NA,0.0239,0.0384,NA
2004,Reference,NA,R3,12,81,NA,NA,0.0708,0.0666,NA
2004,Reference,NA,R3,13,97,NA,NA,0.0812,0.0767,NA
2004,Reference,NA,R3,14,80,NA,NA,0.0422,0.0455,NA
2004,Reference,NA,R3,15,75,NA,NA,0.0651,0.0544,NA
2004,Reference,NA,R3,16,85,NA,NA,0.0366,0.0438,NA
2004,Reference,NA,R3,17,120,NA,NA,0.0978,0.128,NA
2004,Reference,NA,R3,18,91,NA,NA,0.1037,0.0906,NA
2004,Reference,NA,R3,19,127,NA,NA,0.0698,0.0999,NA
2004,W1,NA,W1-1,1,92,NA,NA,0.1039,0.0778,NA
2004,W1,NA,W1-1,2,111,NA,NA,0.1068,0.1042,NA
2004,W1,NA,W1-1,3,99,NA,NA,0.1339,0.1052,NA
2004,W1,NA,W1-1,4,120,NA,NA,0.0928,0.1138,NA
2004,W1,NA,W1-1,5,80,NA,NA,0.0995,0.0697,NA
2004,W1,NA,W1-1,6,86,NA,NA,0.1247,0.0929,NA
2004,W1,NA,W1-1,7,89,NA,NA,0.0929,0.0903,NA
2004,W1,NA,W1-1,8,102,NA,NA,0.0643,0.061,NA
2004,W1,NA,W1-1,9,87,NA,NA,0.0988,0.092,NA
2004,W1,NA,W1-1,10,92,NA,NA,0.1032,0.091,NA
2004,W1,NA,W1-1,11,83,NA,NA,0.1039,0.0751,NA
2004,W1,NA,W1-1,12,109,NA,NA,0.1484,0.1211,NA
2004,W1,NA,W1-1,13,93,NA,NA,0.0311,0.0782,NA
2004,W1,NA,W1-1,14,90,NA,NA,0.1025,0.0917,NA
2004,W1,NA,W1-1,15,94,NA,NA,0.1375,0.1016,NA
2004,W1,NA,W1-1,16,110,NA,NA,0.1271,0.1079,NA
2004,W1,NA,W1-1,17,121,NA,NA,0.095,0.0836,NA
2004,W1,NA,W1-1,18,110,NA,NA,0.0966,0.0966,NA
2004,W1,NA,W1-1,19,104,NA,NA,0.1315,0.1119,NA
2004,W1,NA,W1-1,20,96,NA,NA,0.089,0.0795,NA
2004,W1,NA,W1-2,1,77,NA,NA,0.092,0.0616,NA
2004,W1,NA,W1-2,2,115,NA,NA,0.2001,0.15,NA
2004,W1,NA,W1-2,3,90,NA,NA,0.109,0.1,NA
2004,W1,NA,W1-2,4,85,NA,NA,0.0829,0.0865,NA
2004,W1,NA,W1-2,5,92,NA,NA,0.1267,0.0913,NA
2004,W1,NA,W1-2,6,90,NA,NA,0.0859,0.0863,NA
2004,W1,NA,W1-2,7,104,NA,NA,0.1817,0.1338,NA
2004,W1,NA,W1-2,8,117,NA,NA,0.1291,0.1099,NA
2004,W1,NA,W1-2,9,102,NA,NA,0.1151,0.0894,NA
2004,W1,NA,W1-2,10,89,NA,NA,0.1229,0.1079,NA
2004,W1,NA,W1-2,11,86,NA,NA,0.1162,0.0683,NA
2004,W1,NA,W1-2,12,90,NA,NA,0.0733,0.0704,NA
2004,W1,NA,W1-2,13,78,NA,NA,0.06,0.0464,NA
2004,W1,NA,W1-2,14,116,NA,NA,0.1085,0.1113,NA
2004,W1,NA,W1-2,15,92,NA,NA,0.1208,0.0851,NA
2004,W1,NA,W1-2,16,106,NA,NA,0.1381,0.1236,NA
2004,W1,NA,W1-2,17,63,NA,NA,0.0805,0.0505,NA
2004,W1,NA,W1-2,18,77,NA,NA,0.0963,0.0525,NA
2004,W1,NA,W1-2,19,109,NA,NA,0.1049,0.109,NA
2004,W1,NA,W1-2,20,98,NA,NA,0.1509,0.1157,NA
2004,W1,NA,W1-3,1,93,NA,NA,0.1231,0.086,NA
2004,W1,NA,W1-3,2,92,NA,NA,0.0988,0.0851,NA
2004,W1,NA,W1-3,3,89,NA,NA,0.1311,0.0975,NA
2004,W1,NA,W1-3,4,101,NA,NA,0.1408,0.1249,NA
2004,W1,NA,W1-3,5,118,NA,NA,0.1381,0.1353,NA
2004,W1,NA,W1-3,6,70,NA,NA,0.0827,0.0565,NA
2004,W1,NA,W1-3,7,81,NA,NA,0.1428,0.0838,NA
2004,W1,NA,W1-3,8,102,NA,NA,0.1148,0.1008,NA
2004,W1,NA,W1-3,9,120,NA,NA,0.1699,0.1488,NA
